ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Sex,DOB,Weight,Analysis Date,Age,Rx
4322,WT,2023-05-12-01:45:19.221067,13.7,0.151,1.304,43.21,17.45,31.62,M,12/7/2022,341,27/9/2022,77,PA-D07
4325,WT,2023-05-12-02:12:02.008062,15.4,0.162,1.2,46.38,20.72,35.3,M,12/7/2022,360,27/9/2022,77,PA-D07
4326,WT,2023-05-12-02:06:55.291720,15.2,0.155,1.248,46.57,18.56,33.36,M,12/7/2022,352,27/9/2022,77,PA-D07
4388,CF,2023-02-27-19:47:55.315921,11.8,0.18,1.082,40.05,18.98,25.61,F,12/7/2022,222,27/9/2022,77,PA-D07
4389,CF,2023-02-27-21:57:39.030029,12,0.18,1.157,38.54,17.74,27.66,F,12/7/2022,224,27/9/2022,77,PA-D07
4637,KO,2023-08-09-01:42:40.415477,13.4,0.2,1.325,41.6,17.04,28,F,8/11/2022,210,9/2/2023,93,PA-D07
4661,KO,2023-05-15-04:31:54.311264,13.5,0.209,1.162,41.5,17.29,31.9,F,15/11/2022,203,9/2/2023,86,PA-D07
4662,KO,2023-08-09-01:41:43.119608,15.3,0.195,1.179,44.62,19.94,32.79,F,15/11/2022,213,9/2/2023,86,PA-D07
S54,WT,2023-05-15-04:30:25.161836,11,0.123,1.265,40.82,15.98,32.78,M,14/11/2022,474,9/2/2023,87,PA-D07
S57,WT,2023-07-05-20:37:36.067519,17.1,0.121,1.304,52.22,22.77,34.79,M,14/11/2022,447,9/2/2023,87,PA-D07
S66,WT,2023-02-16-23:31:56.513764,15.7,0.12,0.987,46.89,23.52,30.41,M,14/11/2022,529,9/2/2023,87,PA-D07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
